2026-04-17 15:41:50 - === Session Started - Malpractice Detection Log ===
2026-04-17 15:42:56 - [2026-04-17 15:42:56] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:57 - [2026-04-17 15:42:57] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:57 - [2026-04-17 15:42:57] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:57 - [2026-04-17 15:42:57] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:57 - [2026-04-17 15:42:57] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:57 - [2026-04-17 15:42:57] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:58 - [2026-04-17 15:42:58] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:58 - [2026-04-17 15:42:58] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:58 - [2026-04-17 15:42:58] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:58 - [2026-04-17 15:42:58] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.88
2026-04-17 15:42:58 - [2026-04-17 15:42:58] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
